reports_last_30,avg_monthly_rainfall_mm,road_age_years,traffic_density,days_since_repair,severity_weighted_count,deterioration_risk
3.0,21.518450348469216,15.046227362996854,7.361098970080604,1682.0,22.223182638875667,100
30.0,242.22508519265924,21.971862997649552,0.8035912304530912,910.0,29.874193970162533,100
26.0,333.16873173292004,5.646761156889984,2.4271358483300864,1390.0,1.229319262732762,100
17.0,291.9111667175551,13.31371720437999,8.858952595401297,1925.0,7.347583039843015,100
17.0,104.24736767158353,15.975903875547997,5.769208180996529,96.0,17.932222451506934,90
34.0,28.13052887733582,22.066961158776966,0.4658760906833226,219.0,12.455833599757911,95
3.0,329.7194802629814,28.933611323793226,7.0425504832978545,1840.0,19.126686196399287,100
27.0,328.6013264590985,25.448266440128744,5.066823677531164,1135.0,17.59212999416357,100
8.0,191.0212087023756,18.645552606898505,8.545217274980155,1235.0,23.639684036985283,100
3.0,228.38791996832194,17.50922024504428,6.8243387254126295,682.0,2.1270876042223783,81
21.0,167.28402064167483,18.09560079218012,0.0444658797778863,1653.0,13.218482097853451,100
39.0,152.72022481357794,16.355359279793213,2.057390871749206,1292.0,25.801613690694012,100
29.0,50.61246821575812,1.7808864077677067,2.5796370056494498,515.0,10.882857160408848,69
30.0,42.89598544277265,20.94889183764615,7.022322891616501,1297.0,15.113664158107362,100
28.0,89.12892986990374,21.49010400388809,5.093141776700943,7.0,0.6473587888089982,81
31.0,294.45785377822506,15.374410868010823,7.474474970911631,481.0,6.7252168525289555,100
20.0,59.582982250131195,26.11162816207629,5.128671987834625,407.0,13.909653647470396,100
5.0,87.07754165100165,20.173104082700355,3.2738461069660096,1571.0,11.969043787930309,100
33.0,196.52878016955057,10.879939735710508,1.0366064670868935,1470.0,21.43964630730429,100
18.0,83.14461414661329,0.5908306079590275,2.0262209866873624,182.0,18.356399447746334,68
20.0,65.4902728040476,1.7748493949304023,4.007800803456817,1812.0,26.408475664934958,100
14.0,201.52752217730716,10.55394784925359,5.514543081817786,1636.0,25.643121050922034,100
7.0,135.15171213884926,13.863159755960485,9.386374031906225,869.0,7.236595222989286,90
37.0,222.89415718575952,5.006133585252751,2.3972017706650117,423.0,0.5291618710161294,80
31.0,320.14981573894994,5.679849192678963,6.660849394466838,840.0,25.63412309111287,100
25.0,61.337664687923,6.906340763380089,1.5254591149330166,1179.0,9.873625923150989,89
16.0,320.5674443364417,23.41540018728818,7.137531219223341,1260.0,10.413291277218,100
32.0,316.84658892379235,23.13863522855314,0.11340877143979022,694.0,4.751843945954224,100
21.0,291.88977833420694,11.488169562413365,6.559199499296157,203.0,20.790217984416984,100
17.0,224.63721188406896,5.170931447531874,1.6321765671452437,1219.0,8.403267550823843,89
18.0,220.84986353828612,3.3272515519040766,1.8032444638082334,1410.0,5.30229303186731,86
9.0,227.33230437841053,2.6138793614151967,5.589076333145773,534.0,15.101722231847347,82
3.0,244.76848741405647,11.738377526981163,3.754115459087124,1279.0,22.512477177643273,100
22.0,15.603948202693385,1.366272999633582,4.713051505508362,1137.0,8.087957925749048,69
35.0,335.7514769146209,10.00905111379005,3.088888825562579,1002.0,21.661170029665524,100
2.0,209.10527889829714,28.845997276234122,9.534670495283251,16.0,13.859253290132141,100
34.0,275.69838539682337,15.22513846830116,2.906561000818888,614.0,12.113181697173056,100
33.0,138.27582528086347,24.679339705055668,5.420474247354999,748.0,10.785626044085074,100
11.0,14.215052731370626,3.8779783768619724,8.543555555408451,1667.0,4.367428959583796,77
25.0,183.30978435799094,8.042363472291145,6.641808122608212,1652.0,9.979013005476826,100
6.0,182.44464056741583,28.396393336320266,3.227769469817207,1747.0,26.37754591882446,100
30.0,158.5763580258936,11.506556908020707,5.524366833668194,926.0,3.06500773416176,89
28.0,125.5037984151061,19.45218385344967,0.8299112623272742,653.0,28.749000453054084,100
14.0,94.9408698553055,29.28380337487768,5.4568640270769215,998.0,3.224895824634537,100
2.0,189.36525732904215,16.523632689922067,4.31389088353542,1583.0,10.860949268980614,90
38.0,137.594567495788,9.160378476862078,7.579337070734441,1243.0,18.189185214016327,100
17.0,339.77684023693496,15.958453678561868,8.47902843134117,1202.0,25.13524210824446,100
35.0,68.79528464075669,1.6391159799257793,1.9961652164743904,868.0,4.307484542220119,76
27.0,118.68629299320958,3.371096222780735,0.8153590546076306,1392.0,4.233066721752956,85
31.0,109.94656011435414,0.21513315156809765,3.9055698124483564,1734.0,18.85134373985177,100
30.0,194.72511992022538,26.526301246950126,5.34150408200547,1335.0,8.782398972143339,100
7.0,179.7552873712103,20.138412866987867,3.7680194831502254,806.0,19.335062910539712,100
14.0,228.87175824425285,8.949892953982443,6.285611709980801,1679.0,24.617496087885925,100
18.0,333.0006019952307,6.634842576219137,5.05651279719075,1885.0,2.3061153296263512,100
19.0,106.9751690679149,20.4922980347334,9.366260346650897,1593.0,25.33482369233348,100
1.0,245.5423335466988,27.585961943558473,4.09391123319593,1753.0,1.1275606906332414,100
21.0,18.51366902176243,8.97417273156332,0.8249417294858241,530.0,26.96478555866439,94
6.0,99.21208072943234,9.646773281603453,3.019350211414771,842.0,29.26854424800095,95
29.0,167.66470751884154,25.62722175581319,6.058938623632445,498.0,20.023656073823478,100
27.0,20.538228083585715,26.801274476512567,2.5602509860708613,731.0,29.527659148325217,100
36.0,220.00761658823723,27.421097004893355,2.689884518056338,1466.0,24.659755263858116,100
29.0,240.6256068565808,8.794626240200843,3.3957248402235085,1353.0,1.3309650040143872,100
14.0,263.88878304493585,3.609377027890467,7.461417799090552,6.0,0.11432832607400578,68
38.0,185.63533164662417,13.199927159956262,9.401332342939615,1510.0,0.6239546826679676,100
16.0,215.34118609273307,8.872945954235432,3.5037663384777993,384.0,13.55720879758142,87
13.0,144.66218543468565,26.516000004355075,1.954880397604919,371.0,18.70147833352993,100
36.0,24.02603105223126,1.0990482541063462,4.20636952167103,1087.0,14.44415468101587,93
14.0,43.983630963334434,19.01641408908817,3.5183969297962614,482.0,20.313909774436862,91
3.0,232.6986142284978,27.185440972443416,9.90024914123176,1925.0,13.488079023386359,100
18.0,348.4888018591639,29.30011100418198,4.638682585179925,292.0,1.2769140933116596,100
31.0,15.373101315520701,19.503917978941296,6.79283352811864,303.0,6.785001145530619,98
7.0,199.57838892097013,28.497688710671397,9.137880666448533,1521.0,29.778727098141307,100
18.0,265.3429759800697,2.2697838787520186,6.290615773638835,573.0,10.375915130959948,92
5.0,291.10344152471873,10.778350379887193,2.4937847491985385,1428.0,9.742972132341881,83
27.0,195.36966641569762,0.2614409198020107,6.0741009533328025,1362.0,4.583761470575229,88
19.0,220.77143326259574,29.435513165724554,4.01876336065116,378.0,29.614311663568788,100
13.0,246.88648139334816,27.081794363000977,4.22349869438807,1159.0,6.913779647777963,100
